Epoch,Densenet-121_Train_Loss,BSC-Densenet-121_Train_Loss,Densenet-121_Val_Loss,BSC-Densenet-121_Val_Loss,Densenet-121_Train_Acc,BSC-Densenet-121_Train_Acc,Densenet-121_Val_Acc,BSC-Densenet-121_Val_Acc
1,3.9520218509564295,4.008744484514927,3.5046218434969583,7.242753644784291,9.81,9.2,15.5,14.85
2,3.3501989732829216,3.3704125189380965,3.4428279995918274,3.1796069060053145,18.86,18.45,20.39,22.66
3,2.972951144051495,3.013844021790319,2.9525944335120067,2.8082298153922673,25.31,24.54,28.07,28.85
4,2.7022907499500888,2.6000190112802337,2.542367151805333,2.480649022828965,30.69,32.62,34.45,35.91
5,2.4687921086089504,2.420799100141731,2.4288871316682723,2.3705117957932607,35.31,36.38,36.6,37.72
6,2.3014811711917393,2.282257618092233,2.30085474110785,2.2512996026447842,38.76,39.43,39.92,40.7
7,2.06067204646927,2.0188835787830306,2.176808702094214,2.132456606342679,44.16,45.35,43.21,44.16
8,1.9625426019124277,1.9106920757453791,2.1422931722232272,2.0662971564701627,46.68,47.72,44.35,45.65
9,1.8722753904992155,1.8142962592968839,2.0844875304471877,2.035607221580687,48.63,49.96,45.17,46.31
10,1.693077351263673,1.6412716798073381,2.019661295981634,1.976975787253607,52.83,54.12,47.13,48.22
11,1.6109860249274641,1.5592640909931357,1.9909052408876873,1.9342301047983623,54.97,56.24,47.64,49.1
12,1.5348833047514625,1.4800432177184584,1.9777775931926,1.9114321484452201,56.55,57.93,48.08,49.65
13,1.3965685980783091,1.3437260180640278,1.9806218047936757,1.9174995081765311,60.14,61.47,49.15,50.17
14,1.342208220804338,1.2921149883624747,1.9493600115889596,1.9033908446629841,61.65,62.88,49.31,50.41
15,1.2997690467811602,1.2401371123693543,1.9492941186541604,1.9263625726813363,62.85,64.3,49.45,50.53
16,1.227191550125607,1.166785489883926,1.9321145103091286,1.8976427770796276,65.02,66.36,50.23,50.92
17,1.2035111127425726,1.1388899653935605,1.9345692779336656,1.904203121151243,65.48,67.0,50.19,50.98
18,1.1751200230859167,1.1106190651440793,1.9347516312485649,1.8999680564517067,66.09,68.0,50.24,51.22
19,1.1441117110583994,1.077670614210536,1.9383205019292378,1.8967857715629397,67.33,68.75,50.38,51.04
20,1.1213524085726383,1.057364115755049,1.9328858171190535,1.8998535232884544,67.7,69.37,50.52,51.23
